Index,product,category,sale_price,market_price,type,rating,discount_amount,discount_percentage,rating_bucket,price_segment
999,"Max Stainless Steel Spices Bottle/Holder - Silver, BB 543 Series","Kitchen, Garden & Pets",389,809,Racks & Holders,3.9,420,51.92,Good,Medium
1000,Ultimate Organic - Chana Masala Collection,"Foodgrains, Oil & Masala",65,65,Organic Masalas & Spices,4.5,0,0,Excellent,Low
1001,"Max Body Bath Loofah/Sponge/Scrubber - Double Loop Hangable - Grey, BH011GRY Style","Kitchen, Garden & Pets",219,219,Kitchen Tools & Other Accessories,3.9,0,0,Good,Medium
1002,New Generation Fibre Rich Muesli For Breakfast + Cranberry Blueberry Muesli Fibre (each 1kg) Range,Gourmet & World Food,988,1190,Muesli & Rice Cakes,3.9,0,0,Good,High
1003,Expert Immunity Booster Natural Remedial Drink Premium Pack,Gourmet & World Food,395,395,"Curry Paste, Coconut Milk",3.9,0,0,Good,Medium
1004,"Artisan Copper Bottle - Matt Finish, Duke, BBCB03 Range","Kitchen, Garden & Pets",649,1299,Copper Utensils,3.2,0,0,Good,High
1005,Ultimate Syrup Selection,Gourmet & World Food,200,200,"Chocolate, Peanut Spread",5,0,0,Excellent,Medium
1006,Essential Microfiber Multipurpose Cloth Set,Cleaning & Household,140,140,Dust Cloth & Wipes,4.1,0,0,Very Good,Low
1007,Essential Paste - Ginger & Garlic Series,"Foodgrains, Oil & Masala",68.25,75,Cooking Pastes,4.2,6.75,9,Very Good,Low
1008,Elite Sugar/Sakkare - Refined Collection,"Foodgrains, Oil & Masala",234,295,Sugar & Jaggery,4.1,61,20.68,Very Good,Medium
1009,Essential Namkeen - Lite Chiwda Set,Snacks & Branded Foods,10,10,Namkeen & Savoury Snacks,4.1,0,0,Very Good,Low
1010,Expert Men Expert White Activ Intensive Whitening Foam Line,Beauty & Hygiene,499,499,Face & Body,3,0,0,Good,Medium
1011,Advanced Shai Mix Model,"Foodgrains, Oil & Masala",131.75,155,Mukhwas,3.9,23.25,15,Good,Low
1012,Advanced Menthol Cool 500 ml + Laundry San- Fresh Linen 480 ml Series,Cleaning & Household,309.6,363,Disinfectant Spray & Cleaners,3.9,53.4,14.71,Good,Medium
1013,Expert Daily Face Care Lotion Oil Balance - Combination To Normal Skin Line,Beauty & Hygiene,117,130,Face Care,4.4,13,10,Very Good,Low
1014,Essential Nano Sun Block Sun Protective Cream Spf 60 Model,Beauty & Hygiene,455,455,Face Care,5,0,0,Excellent,Medium
1015,Fusion Women Well Being Capsules Model,Beauty & Hygiene,210,210,Supplements & Proteins,4,0,0,Very Good,Medium
1016,Ultimate Men Expert Hydra Power Duo Foam Cleanser Selection,Beauty & Hygiene,367.54,499,Face & Body,4.1,131.46,26.34,Very Good,Medium
1017,Signature Bounce Biscuits - Orange Creme Set,Snacks & Branded Foods,27,30,Cream Biscuits & Wafers,4.2,3,10,Very Good,Low
1018,Pro Organic - Parmal Rice Line,"Foodgrains, Oil & Masala",424.15,499,Organic Masalas & Spices,3.9,74.85,15,Good,Medium
1019,New Generation Chicken Classic Salami Style,"Eggs, Meat & Fish",140,140,Chicken Sausages,3.9,0,0,Good,Low
1020,Expert EDT Spray - Sport Style For Men Model,Beauty & Hygiene,595,595,Men'S Deodorants,3.9,0,0,Good,High
1021,"Signature Shot Body Spray - Absolute Series, Craze Bundle",Beauty & Hygiene,168.75,225,Women'S Deodorants,1,56.25,25,Poor,Medium
1022,New Generation W3 Perfume Spray - For Women Collection,Beauty & Hygiene,250.9,420,Women'S Deodorants,4.2,169.1,40.26,Very Good,Medium
1023,New Generation Nut Cracker Bundle,Snacks & Branded Foods,48,48,Namkeen & Savoury Snacks,5,0,0,Excellent,Low
1024,Fusion Alphabytes Selection,Snacks & Branded Foods,137.75,145,Frozen Veg Snacks,4.3,7.25,5,Very Good,Low
1025,Artisan Herbal Aloevera Neem & Basil Facial Massage Gel Collection,Beauty & Hygiene,215,215,Face Care,3.4,0,0,Good,Medium
1026,Expert Steel Lunch/Tiffin Box Set With Bag - Tiffany Selection,"Kitchen, Garden & Pets",599,900,Steel Lunch Boxes,4,301,33.44,Very Good,High
